"CustomerID";"FirstName";"LastName";"Email";"Phone";"Address";"City";"State";"ZipCode";"Country"
1;"John";"Doe";"johndoe@email.com";"555-1234";"123 Main St";"Anytown";"CA";12345;"USA"
2;"Jane";"Smith";"janesmith@email.com";"555-5678";"456 Oak St";"Somewhere";"TX";67890;"USA"
3;"Chris";"Johnson";"chrisjohnson@email.com";"555-9876";"789 Pine St";"Nowhere";"NY";45678;"USA"
4;"Alice";"Williams";"alicewilliams@email.com";"555-2345";"321 Elm St";"Everywhere";"FL";23456;"USA"
5;"Michael";"Brown";"michaelbrown@email.com";"555-8765";"654 Birch St";"Anyville";"IL";56789;"USA"
6;"Susan";"Jones";"susanjones@email.com";"555-5432";"987 Cedar St";"Somewhen";"OH";34567;"USA"
7;"David";"Miller";"davidmiller@email.com";"555-7654";"876 Maple St";"Nowhen";"PA";67891;"USA"
8;"Emily";"Davis";"emilydavis@email.com";"555-4321";"234 Oak St";"Somewhy";"WA";78901;"USA"
9;"Robert";"Anderson";"robertanderson@email.com";"555-8765";"543 Pine St";"Nohow";"GA";89012;"USA"
10;"Olivia";"Thomas";"oliviathomas@email.com";"555-3210";"876 Birch St";"Anyplace";"MI";90123;"USA"
11;"William";"Baker";"williambaker@email.com";"555-2345";"765 Cedar St";"Sometime";"TX";12345;"USA"
12;"Emma";"Hall";"emmahall@email.com";"555-6789";"654 Maple St";"Nowhere";"CA";23456;"USA"
13;"James";"Ward";"jamesward@email.com";"555-5432";"987 Oak St";"Somewhy";"NY";34567;"USA"
14;"Grace";"Fisher";"gracefisher@email.com";"555-9876";"876 Pine St";"Somewhen";"FL";45678;"USA"
15;"Andrew";"Campbell";"andrewcampbell@email.com";"555-4321";"543 Elm St";"Anytown";"IL";56789;"USA"
16;"Abigail";"Ross";"abigailross@email.com";"555-8765";"321 Cedar St";"Somewhere";"OH";67891;"USA"
17;"Nathan";"Barnes";"nathanbarnes@email.com";"555-1234";"654 Oak St";"Nowhere";"PA";78901;"USA"
18;"Elizabeth";"Cook";"elizabethcook@email.com";"555-7654";"987 Pine St";"Somewhen";"WA";89012;"USA"
19;"Matthew";"Morris";"matthewmorris@email.com";"555-2345";"876 Birch St";"Nohow";"GA";90123;"USA"
20;"Chloe";"Garcia";"chloegarcia@email.com";"555-3210";"543 Maple St";"Anyplace";"MI";12345;"USA"
